Bigram Language Model Smoothing Results
=====================================

Formulas:
1. Add-One: P(w2|w1) = (count(w1,w2) + 1) / (count(w1) + V)
2. Add-K: P(w2|w1) = (count(w1,w2) + 0.3) / (count(w1) + 0.3*V)
3. Token Type: P(w2|w1) = (count(w1,w2) + V) / (count(w1) + V²)

Bigram	Count	ContextCount	AddOne	AddK	TokenType
('“', 'কি')	1	19	0.000246	0.000530	0.000123
('কি', 'সাগর')	1	16	0.000246	0.000531	0.000123
('সাগর', 'বাবা')	1	1	0.000246	0.000534	0.000123
('বাবা', ',')	3	8	0.000492	0.001351	0.000123
(',', 'তোমার')	1	779	0.000225	0.000405	0.000123
('তোমার', 'তোমাদের')	1	8	0.000246	0.000532	0.000123
('তোমাদের', 'হারানো')	1	1	0.000246	0.000534	0.000123
('হারানো', 'কুকুরটার')	1	1	0.000246	0.000534	0.000123
('কুকুরটার', 'জন্য')	1	1	0.000246	0.000534	0.000123
('জন্য', 'মায়া')	1	82	0.000244	0.000517	0.000123
('মায়া', 'লাগছে')	1	1	0.000246	0.000534	0.000123
('লাগছে', 'খুব')	1	3	0.000246	0.000533	0.000123
('খুব', ',')	1	11	0.000246	0.000532	0.000123
(',', 'তাই')	3	779	0.000450	0.001027	0.000123
('তাই', 'না')	1	24	0.000246	0.000529	0.000123
('না', '”')	1	115	0.000243	0.000510	0.000123
('<s>', 'শহীদ')	1	0	0.000246	0.000534	0.000123
('শহীদ', '-')	1	6	0.000246	0.000533	0.000123
('-', 'শাওনের')	1	224	0.000240	0.000489	0.000123
('শাওনের', 'বিপিএল')	1	1	0.000246	0.000534	0.000123
('বিপিএল', 'থিম')	1	2	0.000246	0.000534	0.000123
('থিম', 'সং')	1	1	0.000246	0.000534	0.000123
('সং', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'যশোরের')	1	0	0.000246	0.000534	0.000123
('যশোরের', 'মনিরামপুর')	1	1	0.000246	0.000534	0.000123
('মনিরামপুর', 'উপজেলার')	1	1	0.000246	0.000534	0.000123
('উপজেলার', 'খেদাপাড়া')	1	13	0.000246	0.000531	0.000123
('খেদাপাড়া', 'ইউনিয়ন')	1	1	0.000246	0.000534	0.000123
('ইউনিয়ন', 'পরিষদের')	1	7	0.000246	0.000533	0.000123
('পরিষদের', 'সদস্য')	2	4	0.000370	0.000943	0.000123
('সদস্য', 'মেজবাহউদ্দিন')	1	15	0.000246	0.000531	0.000123
('মেজবাহউদ্দিন', 'চন্টুর')	1	1	0.000246	0.000534	0.000123
('চন্টুর', 'লাশ')	1	1	0.000246	0.000534	0.000123
('লাশ', 'রেললাইনের')	1	17	0.000246	0.000530	0.000123
('রেললাইনের', 'পাশ')	1	1	0.000246	0.000534	0.000123
('পাশ', 'থেকে')	1	2	0.000246	0.000534	0.000123
('<s>', 'ছবি')	4	0	0.000616	0.001766	0.000123
('ছবি', ':')	5	14	0.000738	0.002165	0.000123
(':', 'এনটিভি')	3	115	0.000486	0.001295	0.000123
('এনটিভি', '</s>')	3	5	0.000493	0.001353	0.000123
('<s>', 'খুচরো')	1	0	0.000246	0.000534	0.000123
('খুচরো', 'ব্যবসায়ী')	1	2	0.000246	0.000534	0.000123
('ব্যবসায়ী', 'লক্ষ্মণ')	1	3	0.000246	0.000533	0.000123
('লক্ষ্মণ', 'দাস')	1	1	0.000246	0.000534	0.000123
('দাস', ',')	3	5	0.000493	0.001353	0.000123
(',', 'অমল')	1	779	0.000225	0.000405	0.000123
('অমল', 'দাস')	1	1	0.000246	0.000534	0.000123
(',', 'দুলাল')	1	779	0.000225	0.000405	0.000123
('দুলাল', 'বর্মন')	1	1	0.000246	0.000534	0.000123
('বর্মন', 'জানান')	1	1	0.000246	0.000534	0.000123
('বছর', 'আড়তদারের')	1	36	0.000245	0.000526	0.000123
('আড়তদারের', 'থেকে')	1	1	0.000246	0.000534	0.000123
('থেকে', 'লাল')	1	171	0.000241	0.000499	0.000123
('লাল', 'আলু')	1	7	0.000246	0.000533	0.000123
('আলু', '২৮')	1	5	0.000246	0.000533	0.000123
('২৮', 'থেকে')	1	5	0.000246	0.000533	0.000123
('থেকে', '২৯')	1	171	0.000241	0.000499	0.000123
('২৯', 'টাকা')	1	4	0.000246	0.000533	0.000123
('টাকা', 'এবং')	1	28	0.000246	0.000528	0.000123
('সাদা', 'আলু')	1	5	0.000246	0.000533	0.000123
('আলু', '২৬')	1	5	0.000246	0.000533	0.000123
('২৬', 'থেকে')	1	6	0.000246	0.000533	0.000123
('থেকে', '২৭')	1	171	0.000241	0.000499	0.000123
('২৭', 'টাকা')	1	8	0.000246	0.000532	0.000123
('টাকা', 'কেজি')	1	28	0.000246	0.000528	0.000123
('কেজি', 'দরে')	1	5	0.000246	0.000533	0.000123
('দরে', 'কিনতে')	1	1	0.000246	0.000534	0.000123
('কিনতে', 'হচ্ছে')	1	4	0.000246	0.000533	0.000123
('তারপর', 'গাড়িভাড়া')	1	7	0.000246	0.000533	0.000123
('গাড়িভাড়া', 'দিয়ে')	1	1	0.000246	0.000534	0.000123
('দিয়ে', 'আলু')	1	42	0.000245	0.000525	0.000123
('আলু', 'বহন')	1	5	0.000246	0.000533	0.000123
('বহন', 'করে')	1	1	0.000246	0.000534	0.000123
('করে', 'আনার')	1	192	0.000241	0.000495	0.000123
('আনার', 'পর')	1	5	0.000246	0.000533	0.000123
('পর', 'দেখা')	1	33	0.000245	0.000527	0.000123
('যাচ্ছে', '৩')	1	19	0.000246	0.000530	0.000123
('৩', 'থেকে')	1	23	0.000246	0.000529	0.000123
('থেকে', '৪')	1	171	0.000241	0.000499	0.000123
('৪', 'কেজি')	1	18	0.000246	0.000530	0.000123
('কেজি', 'আলু')	1	5	0.000246	0.000533	0.000123
('আলু', 'খারাপ')	1	5	0.000246	0.000533	0.000123
('খারাপ', 'বের')	1	4	0.000246	0.000533	0.000123
('বের', 'হচ্ছে')	1	9	0.000246	0.000532	0.000123
('তাই', 'খুচরো')	1	24	0.000246	0.000529	0.000123
('খুচরো', 'দামে')	1	2	0.000246	0.000534	0.000123
('দামে', 'বিক্রি')	1	1	0.000246	0.000534	0.000123
('বিক্রি', 'না')	1	13	0.000246	0.000531	0.000123
('না', 'করলে')	1	115	0.000243	0.000510	0.000123
('করলে', 'তাঁদের')	1	4	0.000246	0.000533	0.000123
('তাঁদের', 'কিছুই')	1	8	0.000246	0.000532	0.000123
('কিছুই', 'থাকছে')	1	2	0.000246	0.000534	0.000123
('থাকছে', 'না')	1	1	0.000246	0.000534	0.000123
('<s>', 'ক্রেতা')	1	0	0.000246	0.000534	0.000123
('ক্রেতা', 'দিলীপ')	1	3	0.000246	0.000533	0.000123
('দিলীপ', 'রায়')	1	1	0.000246	0.000534	0.000123
('রায়', ',')	1	3	0.000246	0.000533	0.000123
(',', 'রফিকুল')	1	779	0.000225	0.000405	0.000123
('রফিকুল', 'মিযাঁ')	1	3	0.000246	0.000533	0.000123
('মিযাঁ', ',')	1	1	0.000246	0.000534	0.000123
(',', 'সৌমেন')	1	779	0.000225	0.000405	0.000123
('সৌমেন', 'দাস')	1	1	0.000246	0.000534	0.000123
('দাস', 'সহ')	1	5	0.000246	0.000533	0.000123
('সহ', 'আরও')	2	20	0.000369	0.000937	0.000123
('আরও', 'অনেকে')	2	22	0.000369	0.000936	0.000123
('অনেকে', 'জানান')	1	8	0.000246	0.000532	0.000123
('করোনা', 'পরিস্থিতিতে')	1	20	0.000246	0.000530	0.000123
('পরিস্থিতিতে', 'এমনিতেই')	1	2	0.000246	0.000534	0.000123
('এমনিতেই', 'আগের')	1	1	0.000246	0.000534	0.000123
('আগের', 'মতো')	1	6	0.000246	0.000533	0.000123
('মতো', 'কাজকর্ম')	1	18	0.000246	0.000530	0.000123
('কাজকর্ম', 'নেই')	1	1	0.000246	0.000534	0.000123
('তার', 'মধ্যেই')	1	89	0.000244	0.000515	0.000123
('মধ্যেই', 'আলুর')	1	9	0.000246	0.000532	0.000123
('আলুর', 'দাম')	1	3	0.000246	0.000533	0.000123
('দাম', 'বেড়ে')	1	16	0.000246	0.000531	0.000123
('বেড়ে', 'যাওয়ায়')	2	7	0.000369	0.000942	0.000123
('যাওয়ায়', 'সমস্যা')	1	4	0.000246	0.000533	0.000123
('সমস্যা', 'বেড়েছে')	1	7	0.000246	0.000533	0.000123
('বেড়েছে', '</s>')	1	2	0.000246	0.000534	0.000123
('এদিকে', 'নেইমারের')	1	10	0.000246	0.000532	0.000123
('নেইমারের', 'বিরুদ্ধে')	1	2	0.000246	0.000534	0.000123
('বিরুদ্ধে', 'ধর্ষণের')	1	15	0.000246	0.000531	0.000123
('ধর্ষণের', 'অভিযোগ')	1	2	0.000246	0.000534	0.000123
('অভিযোগ', 'দায়ের')	1	23	0.000246	0.000529	0.000123
('দায়ের', 'করেছে')	1	4	0.000246	0.000533	0.000123
('করেছে', 'এক')	1	37	0.000245	0.000526	0.000123
('এক', 'ব্রাজিলিয়ান')	1	60	0.000245	0.000521	0.000123
('ব্রাজিলিয়ান', 'নারী')	1	1	0.000246	0.000534	0.000123
('নারী', '</s>')	1	5	0.000246	0.000533	0.000123
('তিনি', 'অভিযোগ')	1	102	0.000243	0.000513	0.000123
('অভিযোগ', 'করেন')	1	23	0.000246	0.000529	0.000123
('করেন', ',')	5	63	0.000734	0.002122	0.000123
(',', 'প্যারিসে')	1	779	0.000225	0.000405	0.000123
('প্যারিসে', 'নেইমারের')	1	1	0.000246	0.000534	0.000123
('নেইমারের', 'সঙ্গে')	1	2	0.000246	0.000534	0.000123
('সঙ্গে', 'দেখা')	2	54	0.000367	0.000924	0.000123
('করতে', 'গেলে')	1	80	0.000244	0.000517	0.000123
('গেলে', 'তাকে')	1	4	0.000246	0.000533	0.000123
('তাকে', 'ধর্ষণ')	1	17	0.000246	0.000530	0.000123
('করেন', 'এই')	1	63	0.000245	0.000521	0.000123
('এই', 'ফুটবল')	1	162	0.000242	0.000501	0.000123
('ফুটবল', 'তারকা')	1	4	0.000246	0.000533	0.000123
('তারকা', '</s>')	1	2	0.000246	0.000534	0.000123
('এই', 'অভিযোগ')	1	162	0.000242	0.000501	0.000123
('অভিযোগ', 'অস্বীকার')	2	23	0.000369	0.000936	0.000123
('অস্বীকার', 'করেছেন')	1	2	0.000246	0.000534	0.000123
('করেছেন', 'নেইমার')	1	31	0.000246	0.000527	0.000123
('নেইমার', '</s>')	1	3	0.000246	0.000533	0.000123
('তবে', 'অভিযোগ')	1	37	0.000245	0.000526	0.000123
('তদন্তে', 'বৃহস্পতিবার')	1	5	0.000246	0.000533	0.000123
('বৃহস্পতিবার', 'তাকে')	1	6	0.000246	0.000533	0.000123
('তাকে', 'থানায়')	1	17	0.000246	0.000530	0.000123
('থানায়', 'উপস্থিত')	1	7	0.000246	0.000533	0.000123
('উপস্থিত', 'হতে')	1	5	0.000246	0.000533	0.000123
('হতে', 'হয়েছে')	1	31	0.000246	0.000527	0.000123
('<s>', 'কয়েকদিন')	1	0	0.000246	0.000534	0.000123
('কয়েকদিন', 'আগে')	2	3	0.000370	0.000944	0.000123
('আগে', 'ডিজেলের')	1	33	0.000245	0.000527	0.000123
('ডিজেলের', 'দাম')	2	2	0.000370	0.000944	0.000123
('দাম', 'বাড়লো')	1	16	0.000246	0.000531	0.000123
('বাড়লো', '</s>')	1	1	0.000246	0.000534	0.000123
('তখন', 'এক')	1	17	0.000246	0.000530	0.000123
('এক', 'মুরব্বির')	1	60	0.000245	0.000521	0.000123
('মুরব্বির', 'সাথে')	1	1	0.000246	0.000534	0.000123
('সাথে', 'গল্পো')	1	40	0.000245	0.000525	0.000123
('গল্পো', 'করছিলাম')	1	1	0.000246	0.000534	0.000123
('করছিলাম', '</s>')	1	1	0.000246	0.000534	0.000123
('উনি', 'বলছিলেন')	1	2	0.000246	0.000534	0.000123
('বলছিলেন', ',')	4	5	0.000616	0.001763	0.000123
(',', 'ডিজেলের')	1	779	0.000225	0.000405	0.000123
('দাম', 'বাড়ায়')	1	16	0.000246	0.000531	0.000123
('বাড়ায়', 'আমার')	1	1	0.000246	0.000534	0.000123
('আমার', 'মেয়ের')	1	49	0.000245	0.000524	0.000123
('মেয়ের', 'জামায়ের')	1	3	0.000246	0.000533	0.000123
('জামায়ের', 'লাভ')	1	1	0.000246	0.000534	0.000123
('লাভ', 'হয়েছে')	1	5	0.000246	0.000533	0.000123
('হয়েছে', '১')	1	93	0.000244	0.000514	0.000123
('১', '</s>')	1	23	0.000246	0.000529	0.000123
('<s>', '৫০')	1	0	0.000246	0.000534	0.000123
('৫০', 'কোটি')	1	8	0.000246	0.000532	0.000123
('দুই', 'জাহাজ')	1	31	0.000246	0.000527	0.000123
('জাহাজ', 'তেল')	1	1	0.000246	0.000534	0.000123
('তেল', 'কিনে')	1	4	0.000246	0.000533	0.000123
('কিনে', 'রেখেছিলো')	1	2	0.000246	0.000534	0.000123
('রেখেছিলো', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'এমনি')	1	0	0.000246	0.000534	0.000123
('এমনি', 'ভাবে')	1	1	0.000246	0.000534	0.000123
('ভাবে', 'অনেক')	1	5	0.000246	0.000533	0.000123
('অনেক', 'ব্যবসায়ী')	1	42	0.000245	0.000525	0.000123
('ব্যবসায়ী', 'যারা')	1	3	0.000246	0.000533	0.000123
('যারা', 'স্টোকের')	1	11	0.000246	0.000532	0.000123
('স্টোকের', 'ব্যবসা')	1	1	0.000246	0.000534	0.000123
('ব্যবসা', 'করেন')	1	2	0.000246	0.000534	0.000123
(',', 'দাম')	1	779	0.000225	0.000405	0.000123
('দাম', 'বাড়লে')	1	16	0.000246	0.000531	0.000123
('বাড়লে', 'তারা')	1	1	0.000246	0.000534	0.000123
('তারা', 'কোটি')	1	38	0.000245	0.000526	0.000123
('টাকা', 'লাভ')	1	28	0.000246	0.000528	0.000123
('লাভ', 'করেন')	1	5	0.000246	0.000533	0.000123
('<s>', 'করোনাভাইরাসের')	2	0	0.000370	0.000945	0.000123
('করোনাভাইরাসের', 'সংক্রমণ')	1	2	0.000246	0.000534	0.000123
('সংক্রমণ', 'ক্রমশ')	1	4	0.000246	0.000533	0.000123
('ক্রমশ', 'বাড়ছে')	1	3	0.000246	0.000533	0.000123
('বাড়ছে', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'নিলামে')	1	0	0.000246	0.000534	0.000123
('নিলামে', 'ইজারা')	1	1	0.000246	0.000534	0.000123
('ইজারা', 'দেওয়া')	1	1	0.000246	0.000534	0.000123
('দেওয়া', 'হলো')	1	27	0.000246	0.000528	0.000123
('হলো', 'একজনকে')	1	13	0.000246	0.000531	0.000123
('একজনকে', ',')	1	2	0.000246	0.000534	0.000123
('কিন্তু', 'বিদ্যালয়')	1	52	0.000245	0.000523	0.000123
('বিদ্যালয়', 'ভাঙছে')	1	3	0.000246	0.000533	0.000123
('ভাঙছে', 'আরেকজন')	1	1	0.000246	0.000534	0.000123
('আরেকজন', '—')	1	1	0.000246	0.000534	0.000123
('—', 'এর')	1	1	0.000246	0.000534	0.000123
('এর', 'ব্যাখ্যা')	1	72	0.000244	0.000519	0.000123
('ব্যাখ্যা', 'জানতে')	1	6	0.000246	0.000533	0.000123
('জানতে', 'চাইলে')	1	8	0.000246	0.000532	0.000123
('চাইলে', 'ইউএনও')	1	4	0.000246	0.000533	0.000123
('ইউএনও', 'এবং')	1	1	0.000246	0.000534	0.000123
('এবং', 'সহকারী')	3	131	0.000485	0.001286	0.000123
('সহকারী', 'প্রকৌশলী')	1	8	0.000246	0.000532	0.000123
('প্রকৌশলী', 'উভয়ই')	1	1	0.000246	0.000534	0.000123
('উভয়ই', 'বিষয়টি')	1	2	0.000246	0.000534	0.000123
('বিষয়টি', 'সম্পর্কে')	2	11	0.000369	0.000941	0.000123
('সম্পর্কে', 'ওয়াকিবহাল')	2	7	0.000369	0.000942	0.000123
('ওয়াকিবহাল', 'নন')	1	2	0.000246	0.000534	0.000123
('নন', 'বলে')	1	5	0.000246	0.000533	0.000123
('জানান', '</s>')	3	35	0.000491	0.001336	0.000123
('<s>', 'ডাক')	1	0	0.000246	0.000534	0.000123
('ডাক', 'বিভাগের')	1	5	0.000246	0.000533	0.000123
('বিভাগের', 'মোবাইল')	1	4	0.000246	0.000533	0.000123
('মোবাইল', 'ফাইন্যান্সিয়াল')	1	6	0.000246	0.000533	0.000123
('ফাইন্যান্সিয়াল', 'সার্ভিস')	1	1	0.000246	0.000534	0.000123
('সার্ভিস', '‘')	1	5	0.000246	0.000533	0.000123
('‘', 'নগদ')	1	53	0.000245	0.000523	0.000123
('নগদ', '’')	1	1	0.000246	0.000534	0.000123
('’', 'এবার')	1	72	0.000244	0.000519	0.000123
('এবার', 'ঢাকা')	1	20	0.000246	0.000530	0.000123
('ঢাকা', 'রিপোর্টার্স')	1	11	0.000246	0.000532	0.000123
('রিপোর্টার্স', 'ইউনিটির')	1	1	0.000246	0.000534	0.000123
('ইউনিটির', '(')	1	1	0.000246	0.000534	0.000123
('(', 'ডিআরইউ')	1	95	0.000244	0.000514	0.000123
('ডিআরইউ', ')')	1	1	0.000246	0.000534	0.000123
(')', 'সঙ্গে')	1	94	0.000244	0.000514	0.000123
('সঙ্গে', 'মিলে')	1	54	0.000245	0.000522	0.000123
('মিলে', '২০২১')	1	3	0.000246	0.000533	0.000123
('২০২১', 'সালের')	1	14	0.000246	0.000531	0.000123
('সালের', 'সেরা')	1	19	0.000246	0.000530	0.000123
('সেরা', 'রিপোর্টের')	1	6	0.000246	0.000533	0.000123
('রিপোর্টের', 'জন্য')	1	1	0.000246	0.000534	0.000123
('জন্য', '২২')	1	82	0.000244	0.000517	0.000123
('২২', 'জন')	2	11	0.000369	0.000941	0.000123
('জন', 'রিপোর্টারকে')	1	34	0.000245	0.000527	0.000123
('রিপোর্টারকে', 'সম্মানিত')	1	1	0.000246	0.000534	0.000123
('সম্মানিত', 'করেছে')	1	1	0.000246	0.000534	0.000123
('<s>', 'দেশটিতে')	1	0	0.000246	0.000534	0.000123
('দেশটিতে', 'সবচেয়ে')	1	2	0.000246	0.000534	0.000123
('সবচেয়ে', 'বেশি')	1	2	0.000246	0.000534	0.000123
('বেশি', 'ক্ষতির')	1	24	0.000246	0.000529	0.000123
('ক্ষতির', 'শিকার')	1	1	0.000246	0.000534	0.000123
('শিকার', 'হয়েছে')	1	7	0.000246	0.000533	0.000123
('হয়েছে', 'এর')	1	5	0.000246	0.000533	0.000123
('এর', 'উত্তরের')	1	72	0.000244	0.000519	0.000123
('উত্তরের', 'শিল্পাঞ্চল')	1	2	0.000246	0.000534	0.000123
('শিল্পাঞ্চল', '-')	1	1	0.000246	0.000534	0.000123
('-', 'মিলানের')	1	224	0.000240	0.000489	0.000123
('মিলানের', 'আশেপাশের')	1	1	0.000246	0.000534	0.000123
('আশেপাশের', 'এলাকা')	1	1	0.000246	0.000534	0.000123
('এলাকা', ',')	1	6	0.000246	0.000533	0.000123
(',', 'লম্বার্ডি')	1	779	0.000225	0.000405	0.000123
('লম্বার্ডি', 'এবং')	1	1	0.000246	0.000534	0.000123
('এবং', 'ভেনিসের')	1	131	0.000243	0.000507	0.000123
('ভেনিসের', 'কাছে')	1	1	0.000246	0.000534	0.000123
('কাছে', 'ভেনেটো')	1	20	0.000246	0.000530	0.000123
('ভেনেটো', 'শহর')	1	1	0.000246	0.000534	0.000123
('<s>', 'ফরিদপুরে')	1	0	0.000246	0.000534	0.000123
('ফরিদপুরে', 'মেডিকেল')	1	1	0.000246	0.000534	0.000123
('কলেজ', 'মর্গে')	1	7	0.000246	0.000533	0.000123
('মর্গে', 'আওয়ামী')	1	2	0.000246	0.000534	0.000123
('লীগ', 'নেতা')	1	5	0.000246	0.000533	0.000123
('নেতা', 'ইউসুফ')	1	16	0.000246	0.000531	0.000123
('ইউসুফ', 'আল')	1	1	0.000246	0.000534	0.000123
('আল', 'মামুনের')	1	7	0.000246	0.000533	0.000123
('মামুনের', 'মরদেহের')	1	1	0.000246	0.000534	0.000123
('মরদেহের', 'সুরতহাল')	1	1	0.000246	0.000534	0.000123
('সুরতহাল', 'করছেন')	1	1	0.000246	0.000534	0.000123
('করছেন', 'এক')	1	10	0.000246	0.000532	0.000123
('এক', 'পুলিশ')	1	60	0.000245	0.000521	0.000123
('পুলিশ', 'সদস্য')	2	21	0.000369	0.000937	0.000123
('সদস্য', '</s>')	1	15	0.000246	0.000531	0.000123
('রাজধানীর', 'যাত্রাবাড়ী')	1	7	0.000246	0.000533	0.000123
('যাত্রাবাড়ী', 'কাজলা')	1	1	0.000246	0.000534	0.000123
('কাজলা', 'ব্রিজের')	1	1	0.000246	0.000534	0.000123
('ব্রিজের', 'পাশে')	1	1	0.000246	0.000534	0.000123
('পাশে', 'একটি')	2	9	0.000369	0.000941	0.000123
('একটি', 'ঢেউটিনের')	1	70	0.000244	0.000519	0.000123
('ঢেউটিনের', 'দোকানে')	1	1	0.000246	0.000534	0.000123
('দোকানে', 'টিনের')	1	2	0.000246	0.000534	0.000123
('টিনের', 'নিচে')	1	1	0.000246	0.000534	0.000123
('নিচে', 'চাপা')	1	4	0.000246	0.000533	0.000123
('চাপা', 'পড়ে')	1	3	0.000246	0.000533	0.000123
('পড়ে', 'মনির')	1	12	0.000246	0.000531	0.000123
('মনির', 'হোসেন')	1	1	0.000246	0.000534	0.000123
('হোসেন', '(')	2	20	0.000369	0.000937	0.000123
('(', '১১')	2	95	0.000365	0.000909	0.000123
('১১', ')')	1	10	0.000246	0.000532	0.000123
(')', 'নামের')	1	94	0.000244	0.000514	0.000123
('নামের', 'এক')	2	9	0.000369	0.000941	0.000123
('এক', 'শিশু')	1	60	0.000245	0.000521	0.000123
('শিশু', 'শ্রমিকের')	1	4	0.000246	0.000533	0.000123
('শ্রমিকের', 'মৃত্যু')	1	1	0.000246	0.000534	0.000123
('<s>', 'জীবনের')	1	0	0.000246	0.000534	0.000123
('জীবনের', 'প্রথমার্ধ')	1	4	0.000246	0.000533	0.000123
('প্রথমার্ধ', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'আড্ডা')	1	0	0.000246	0.000534	0.000123
('আড্ডা', 'ভেঙ্গে')	1	1	0.000246	0.000534	0.000123
('ভেঙ্গে', 'দুই')	1	2	0.000246	0.000534	0.000123
('দুই', 'বন্ধু')	1	31	0.000246	0.000527	0.000123
('বন্ধু', 'দুই')	1	6	0.000246	0.000533	0.000123
('দুই', 'দিকে')	1	31	0.000246	0.000527	0.000123
('দিকে', 'হাঁটা')	1	26	0.000246	0.000528	0.000123
('হাঁটা', 'শুরু')	1	1	0.000246	0.000534	0.000123
('শুরু', 'করল')	2	41	0.000368	0.000929	0.000123
('করল', '</s>')	1	4	0.000246	0.000533	0.000123
('<s>', 'উত্তরে')	1	0	0.000246	0.000534	0.000123
('উত্তরে', 'যে')	1	5	0.000246	0.000533	0.000123
('যে', 'বন্ধু')	1	54	0.000245	0.000522	0.000123
('বন্ধু', 'যাচ্ছিল')	1	6	0.000246	0.000533	0.000123
('যাচ্ছিল', ',')	1	1	0.000246	0.000534	0.000123
(',', 'দক্ষিণের')	1	779	0.000225	0.000405	0.000123
('দক্ষিণের', 'বন্ধুকে')	1	2	0.000246	0.000534	0.000123
('বন্ধুকে', 'ফোন')	1	1	0.000246	0.000534	0.000123
('ফোন', 'করে')	2	4	0.000370	0.000943	0.000123
('করে', 'বলল')	1	192	0.000241	0.000495	0.000123
('বলল', '-')	1	4	0.000246	0.000533	0.000123
('-', 'জানিস')	1	224	0.000240	0.000489	0.000123
('জানিস', ',')	1	1	0.000246	0.000534	0.000123
('আজ', 'কিন্তু')	1	30	0.000246	0.000528	0.000123
('কিন্তু', 'চাঁদটাও')	1	52	0.000245	0.000523	0.000123
('চাঁদটাও', 'আমার')	1	1	0.000246	0.000534	0.000123
('আমার', 'সাথে')	2	49	0.000368	0.000926	0.000123
('সাথে', 'হেঁটে')	1	40	0.000245	0.000525	0.000123
('হেঁটে', 'আমার')	1	1	0.000246	0.000534	0.000123
('আমার', 'বাড়ির')	1	49	0.000245	0.000524	0.000123
('বাড়ির', 'দিকে')	1	4	0.000246	0.000533	0.000123
('দিকে', 'যাচ্ছে')	1	26	0.000246	0.000528	0.000123
('<s>', 'দক্ষিণের')	1	0	0.000246	0.000534	0.000123
('দক্ষিণের', 'বন্ধু')	1	2	0.000246	0.000534	0.000123
('বন্ধু', 'ক্ষেপে')	1	6	0.000246	0.000533	0.000123
('ক্ষেপে', 'জবাব')	1	1	0.000246	0.000534	0.000123
('জবাব', 'দিল')	1	3	0.000246	0.000533	0.000123
('দিল', ',')	1	2	0.000246	0.000534	0.000123
(',', 'চাপা')	1	779	0.000225	0.000405	0.000123
('চাপা', 'মারিস')	1	3	0.000246	0.000533	0.000123
('মারিস', 'না')	1	1	0.000246	0.000534	0.000123
('<s>', 'চাঁদ')	1	0	0.000246	0.000534	0.000123
('চাঁদ', 'তো')	1	1	0.000246	0.000534	0.000123
('তো', 'আমার')	1	15	0.000246	0.000531	0.000123
('আমার', 'পিছে')	1	49	0.000245	0.000524	0.000123
('পিছে', 'পিছে')	1	2	0.000246	0.000534	0.000123
('পিছে', 'হাঁটছে')	1	2	0.000246	0.000534	0.000123
('হাঁটছে', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'দাঁড়া')	1	0	0.000246	0.000534	0.000123
('দাঁড়া', 'এক্ষুনি')	1	1	0.000246	0.000534	0.000123
('এক্ষুনি', 'সেলফি')	1	1	0.000246	0.000534	0.000123
('সেলফি', 'তুলে')	1	3	0.000246	0.000533	0.000123
('তুলে', 'পাঠাচ্ছি')	1	10	0.000246	0.000532	0.000123
('পাঠাচ্ছি', '</s>')	1	1	0.000246	0.000534	0.000123
('সোমবার', '(')	2	12	0.000369	0.000940	0.000123
('(', '১৩')	1	95	0.000244	0.000514	0.000123
('জুলাই', ')')	1	9	0.000246	0.000532	0.000123
(')', 'রেলপথ')	1	94	0.000244	0.000514	0.000123
('রেলপথ', 'মন্ত্রণালয়')	1	1	0.000246	0.000534	0.000123
('মন্ত্রণালয়', 'সূত্র')	1	4	0.000246	0.000533	0.000123
('সূত্র', 'গণমাধ্যমকে')	1	14	0.000246	0.000531	0.000123
('গণমাধ্যমকে', 'এ')	1	2	0.000246	0.000534	0.000123
('তথ্য', 'নিশ্চিত')	1	12	0.000246	0.000531	0.000123
('নিশ্চিত', 'করেছে')	1	3	0.000246	0.000533	0.000123
('<s>', '১৯৬৩')	1	0	0.000246	0.000534	0.000123
('১৯৬৩', 'সালে')	1	1	0.000246	0.000534	0.000123
('সালে', 'মার্কিন')	1	21	0.000246	0.000529	0.000123
('মার্কিন', 'যুক্তরাষ্ট্র')	1	9	0.000246	0.000532	0.000123
('যুক্তরাষ্ট্র', 'ভ্রমণ')	1	1	0.000246	0.000534	0.000123
('ভ্রমণ', 'করেন')	2	3	0.000370	0.000944	0.000123
('করেন', 'চার্লিয়ার')	1	63	0.000245	0.000521	0.000123
('চার্লিয়ার', 'এবং')	1	2	0.000246	0.000534	0.000123
('এবং', 'এসময়')	1	131	0.000243	0.000507	0.000123
('এসময়', 'আমেরিকার')	1	1	0.000246	0.000534	0.000123
('আমেরিকার', 'পশ্চিমাঞ্চল')	1	2	0.000246	0.000534	0.000123
('পশ্চিমাঞ্চল', 'ভ্রমণ')	1	1	0.000246	0.000534	0.000123
('করেন', 'তিনি')	2	63	0.000367	0.000921	0.000123
('<s>', 'পরবর্তীতে')	1	0	0.000246	0.000534	0.000123
('পরবর্তীতে', 'যা')	1	2	0.000246	0.000534	0.000123
('যা', 'তাকে')	1	18	0.000246	0.000530	0.000123
('তাকে', 'ফোর্ট')	1	17	0.000246	0.000530	0.000123
('ফোর্ট', 'নাভাজো')	2	2	0.000370	0.000944	0.000123
